motion,ssim,brightness
1.0,1.0,239.8
0.1347,1.0,229.95
0.5499,1.0,202.59
0.787,1.0,164.28
0.8961,1.0,123.76
0.0019,1.0,109.29
0.0,1.0,109.08
0.0,1.0,109.06
0.0,1.0,109.04
0.0,0.6284,109.09
0.0,0.6284,109.12
0.0,0.6284,109.13
0.0,0.6284,109.09
0.0,0.6284,109.22
0.0,0.6284,109.25
0.0024,0.6284,108.81
0.0001,0.6284,108.96
0.0004,0.6284,109.02
0.0006,0.6284,108.97
0.0018,0.9387,108.84
0.002,0.9387,108.83
0.0016,0.9387,108.82
0.0007,0.9387,108.79
0.0,0.9387,108.86
0.0,0.9387,108.88
0.0,0.9387,108.93
0.0,0.9387,108.98
0.0,0.9387,108.97
0.0,0.9387,108.95
0.0,0.9395,108.94
0.0,0.9395,108.94
0.0,0.9395,108.94
0.0,0.9395,108.92
0.0,0.9395,108.91
0.0,0.9395,108.89
0.0,0.9395,108.95
0.0,0.9395,108.98
0.0,0.9395,108.97
0.0,0.9395,108.97
0.0,0.9407,108.94
0.0,0.9407,108.94
0.0,0.9407,108.93
0.0,0.9407,108.91
0.0,0.9407,108.98
0.0,0.9407,108.89
0.0,0.9407,108.89
0.0,0.9407,108.88
0.0,0.9407,108.92
0.0,0.9407,108.95
0.0,0.9405,108.94
0.0,0.9405,108.93
0.0,0.9405,108.94
0.0,0.9405,108.92
0.0,0.9405,108.97
0.0,0.9405,109.0
0.0,0.9405,109.02
0.0,0.9405,109.03
0.0,0.9405,109.0
0.0,0.9405,108.94
0.0,0.9399,108.89
0.0,0.9399,108.9
0.0,0.9399,109.0
0.0,0.9399,108.95
0.0,0.9399,109.0
0.0,0.9399,108.98
0.0,0.9399,108.97
0.0,0.9399,108.92
0.0,0.9399,108.96
0.0,0.9399,109.0
0.0,0.9391,108.78
0.0,0.9391,108.66
0.0,0.9391,108.65
0.0,0.9391,108.99
0.0,0.9391,109.06
0.0,0.9391,109.06
0.0,0.9391,109.03
0.0,0.9391,109.02
0.0,0.9391,109.05
0.0,0.9391,109.06
0.0,0.9399,109.1
0.0,0.9399,109.09
0.0,0.9399,109.05
0.0,0.9399,109.05
0.0,0.9399,109.04
0.0,0.9399,109.03
0.0,0.9399,109.04
0.0,0.9399,109.05
0.0,0.9399,109.06
0.0,0.9399,109.08
0.0,0.9408,109.07
0.0,0.9408,109.06
0.0,0.9408,109.07
0.0,0.9408,109.05
0.0,0.9408,109.03
0.0,0.9408,108.91
0.0,0.9408,108.85
0.0,0.9408,108.83
0.0,0.9408,108.82
0.0002,0.9408,108.78
0.0003,0.9394,108.75
0.0003,0.9394,108.7
0.0003,0.9394,108.7
0.0004,0.9394,108.66
0.0004,0.9394,108.68
0.0006,0.9394,108.68
0.0007,0.9394,108.67
0.0009,0.9394,108.74
0.001,0.9394,108.91
0.0009,0.9394,108.95
0.0007,0.9389,108.98
0.001,0.9389,108.94
0.001,0.9389,108.93
0.0011,0.9389,108.92
0.001,0.9389,108.95
0.0009,0.9389,108.93
0.001,0.9389,108.91
0.0008,0.9389,108.9
0.0008,0.9389,108.91
0.0008,0.9389,108.89
0.001,0.9399,108.89
0.0008,0.9399,108.9
0.0011,0.9399,108.85
0.0011,0.9399,108.83
0.0014,0.9399,108.82
0.0007,0.9399,108.87
0.0003,0.9399,108.88
0.0,0.9399,108.92
0.0,0.9399,108.9
0.0,0.9399,108.9
0.0,0.9395,108.94
0.0,0.9395,108.96
0.0,0.9395,108.97
0.0,0.9395,108.9
0.0,0.9395,108.93
0.0,0.9395,108.94
0.0,0.9395,108.97
0.0,0.9395,109.1
0.0,0.9395,109.3
0.0,0.9395,109.32
0.0,0.9376,109.23
0.0,0.9376,109.26
0.0,0.9376,109.04
0.0,0.9376,109.11
0.0,0.9376,109.16
0.0,0.9376,109.05
0.0005,0.9376,108.85
0.0003,0.9376,108.87
0.0,0.9376,108.95
0.0,0.9376,108.89
0.0,0.9371,108.91
0.0,0.9371,108.95
0.0,0.9371,108.98
0.0,0.9371,109.02
0.0,0.9371,109.01
0.0,0.9371,109.03
0.0,0.9371,109.04
0.0,0.9371,109.0
0.0,0.9371,109.03
0.0,0.9371,109.02
0.0,0.9377,109.05
0.0,0.9377,109.06
0.0,0.9377,109.06
0.0,0.9377,109.09
0.0,0.9377,109.07
0.0,0.9377,109.04
0.0,0.9377,109.02
0.0,0.9377,109.04
0.0,0.9377,109.07
0.0,0.9377,109.07
0.0,0.9404,109.06
0.0,0.9404,109.06
0.0,0.9404,109.01
0.0,0.9404,109.01
0.0,0.9404,109.02
0.0,0.9404,109.15
0.0,0.9404,109.1
0.0,0.9404,109.08
0.0,0.9404,109.1
0.0,0.9404,109.1
0.0,0.9404,109.12
0.0,0.9404,109.1
0.0,0.9404,109.11
0.0,0.9404,109.11
0.0,0.9404,109.09
0.0,0.9404,109.09
0.0,0.9404,109.09
0.0,0.9404,109.06
0.0,0.9404,109.02
0.0,0.9404,109.04
0.0,0.9396,109.05
0.0,0.9396,109.06
0.0,0.9396,109.05
0.0,0.9396,109.05
0.0,0.9396,109.01
0.0,0.9396,109.0
0.0,0.9396,109.0
0.0,0.9396,109.0
0.0,0.9396,108.99
0.0,0.9396,108.97
0.0,0.9399,108.96
