FrameNumber,Status,Confidence
1,MASK DETECTED - SUSPICIOUS,0.62
2,MASK DETECTED - SUSPICIOUS,0.65
3,MASK DETECTED - SUSPICIOUS,0.48
4,NO DETECTION,0
5,MASK DETECTED - SUSPICIOUS,0.58
6,NO MASK DETECTED - SUSPICIOUS - SAFE,0.45
7,MASK DETECTED - SUSPICIOUS,0.48
8,MASK DETECTED - SUSPICIOUS,0.49
9,NO DETECTION,0
10,NO DETECTION,0
11,NO MASK DETECTED - SUSPICIOUS - SAFE,0.54
12,NO MASK DETECTED - SUSPICIOUS - SAFE,0.62
13,NO DETECTION,0
14,MASK DETECTED - SUSPICIOUS,0.67
15,MASK DETECTED - SUSPICIOUS,0.65
16,NO DETECTION,0
17,MASK DETECTED - SUSPICIOUS,0.7
18,MASK DETECTED - SUSPICIOUS,0.66
19,MASK DETECTED - SUSPICIOUS,0.55
20,MASK DETECTED - SUSPICIOUS,0.65
21,MASK DETECTED - SUSPICIOUS,0.66
22,MASK DETECTED - SUSPICIOUS,0.73
23,MASK DETECTED - SUSPICIOUS,0.66
24,MASK DETECTED - SUSPICIOUS,0.68
25,MASK DETECTED - SUSPICIOUS,0.54
26,MASK DETECTED - SUSPICIOUS,0.8
27,MASK DETECTED - SUSPICIOUS,0.72
28,MASK DETECTED - SUSPICIOUS,0.75
29,MASK DETECTED - SUSPICIOUS,0.82
30,NO DETECTION,0
31,NO DETECTION,0
32,MASK DETECTED - SUSPICIOUS,0.71
33,MASK DETECTED - SUSPICIOUS,0.44
34,MASK DETECTED - SUSPICIOUS,0.71
35,MASK DETECTED - SUSPICIOUS,0.58
36,MASK DETECTED - SUSPICIOUS,0.52
37,MASK DETECTED - SUSPICIOUS,0.45
38,NO MASK DETECTED - SUSPICIOUS - SAFE,0.53
39,MASK DETECTED - SUSPICIOUS,0.44
40,MASK DETECTED - SUSPICIOUS,0.45
41,MASK DETECTED - SUSPICIOUS,0.57
42,NO DETECTION,0
43,MASK DETECTED - SUSPICIOUS,0.69
44,MASK DETECTED - SUSPICIOUS,0.49
45,NO MASK DETECTED - SUSPICIOUS - SAFE,0.43
46,MASK DETECTED - SUSPICIOUS,0.46
47,NO DETECTION,0
48,MASK DETECTED - SUSPICIOUS,0.6
49,MASK DETECTED - SUSPICIOUS,0.77
50,MASK DETECTED - SUSPICIOUS,0.55
51,MASK DETECTED - SUSPICIOUS,0.57
52,MASK DETECTED - SUSPICIOUS,0.43
53,NO DETECTION,0
54,NO DETECTION,0
55,NO DETECTION,0
56,MASK DETECTED - SUSPICIOUS,0.6
57,MASK DETECTED - SUSPICIOUS,0.61
58,NO DETECTION,0
59,MASK DETECTED - SUSPICIOUS,0.71
60,NO MASK DETECTED - SUSPICIOUS - SAFE,0.49
61,MASK DETECTED - SUSPICIOUS,0.56
62,MASK DETECTED - SUSPICIOUS,0.68
63,NO MASK DETECTED - SUSPICIOUS - SAFE,0.44
64,NO DETECTION,0
65,NO DETECTION,0
66,NO DETECTION,0
67,NO MASK DETECTED - SUSPICIOUS - SAFE,0.41
68,NO DETECTION,0
69,MASK DETECTED - SUSPICIOUS,0.47
70,NO DETECTION,0
71,NO DETECTION,0
72,MASK DETECTED - SUSPICIOUS,0.48
73,MASK DETECTED - SUSPICIOUS,0.55
74,MASK DETECTED - SUSPICIOUS,0.74
75,MASK DETECTED - SUSPICIOUS,0.64
76,MASK DETECTED - SUSPICIOUS,0.64
77,MASK DETECTED - SUSPICIOUS,0.51
78,MASK DETECTED - SUSPICIOUS,0.66
79,MASK DETECTED - SUSPICIOUS,0.42
80,MASK DETECTED - SUSPICIOUS,0.54
81,MASK DETECTED - SUSPICIOUS,0.58
82,MASK DETECTED - SUSPICIOUS,0.59
83,MASK DETECTED - SUSPICIOUS,0.57
84,MASK DETECTED - SUSPICIOUS,0.43
85,MASK DETECTED - SUSPICIOUS,0.61
86,MASK DETECTED - SUSPICIOUS,0.67
87,MASK DETECTED - SUSPICIOUS,0.6
88,MASK DETECTED - SUSPICIOUS,0.64
89,MASK DETECTED - SUSPICIOUS,0.5
90,MASK DETECTED - SUSPICIOUS,0.63
91,MASK DETECTED - SUSPICIOUS,0.58
92,MASK DETECTED - SUSPICIOUS,0.61
93,MASK DETECTED - SUSPICIOUS,0.55
94,MASK DETECTED - SUSPICIOUS,0.7
95,MASK DETECTED - SUSPICIOUS,0.75
96,MASK DETECTED - SUSPICIOUS,0.74
97,MASK DETECTED - SUSPICIOUS,0.61
98,MASK DETECTED - SUSPICIOUS,0.66
99,MASK DETECTED - SUSPICIOUS,0.68
100,MASK DETECTED - SUSPICIOUS,0.58
101,MASK DETECTED - SUSPICIOUS,0.55
102,MASK DETECTED - SUSPICIOUS,0.62
103,NO DETECTION,0
104,MASK DETECTED - SUSPICIOUS,0.64
105,MASK DETECTED - SUSPICIOUS,0.62
106,MASK DETECTED - SUSPICIOUS,0.64
107,MASK DETECTED - SUSPICIOUS,0.64
108,MASK DETECTED - SUSPICIOUS,0.82
109,MASK DETECTED - SUSPICIOUS,0.61
110,MASK DETECTED - SUSPICIOUS,0.72
111,MASK DETECTED - SUSPICIOUS,0.53
112,NO DETECTION,0
113,MASK DETECTED - SUSPICIOUS,0.42
114,MASK DETECTED - SUSPICIOUS,0.45
115,MASK DETECTED - SUSPICIOUS,0.51
116,MASK DETECTED - SUSPICIOUS,0.64
117,MASK DETECTED - SUSPICIOUS,0.65
118,MASK DETECTED - SUSPICIOUS,0.66
119,MASK DETECTED - SUSPICIOUS,0.53
120,MASK DETECTED - SUSPICIOUS,0.55
