FrameNumber,HandDetected,HandConfidence,ProximityPx,Status
1,1,0.733,204.28,NO_REACH
2,1,0.965,209.93,NO_REACH
3,0,0,209.93,NO_REACH
4,1,0.824,208.73,NO_REACH
5,0,0,208.73,NO_REACH
6,1,0.901,351.39,NO_REACH
7,1,0.722,279.87,NO_REACH
8,1,0.574,339.41,NO_REACH
9,1,0.651,251.5,REACHING
10,1,0.897,192.57,NO_REACH
11,1,0.978,230.63,NO_REACH
12,1,0.97,311.6,NO_REACH
13,1,0.912,380.62,NO_REACH
14,1,0.928,283.99,REACHING
15,1,0.855,162.07,NO_REACH
16,1,0.947,175.78,NO_REACH
17,1,0.887,245.71,NO_REACH
18,1,0.862,253.39,NO_REACH
19,1,0.898,221.4,NO_REACH
20,0,0,221.4,NO_REACH
21,1,0.918,479.28,REACHING
22,1,0.717,442.14,NO_REACH
23,1,0.875,456.91,NO_REACH
24,1,0.667,392.97,NO_REACH
25,0,0,392.97,NO_REACH
26,1,0.969,180.43,NO_REACH
27,0,0,180.43,NO_REACH
28,1,0.987,411.98,NO_REACH
29,0,0,411.98,NO_REACH
30,1,0.941,267.31,NO_REACH
31,1,0.95,175.11,NO_REACH
32,1,0.961,166.83,NO_REACH
33,1,0.819,164.17,NO_REACH
34,0,0,164.17,NO_REACH
35,0,0,164.17,NO_REACH
36,0,0,164.17,NO_REACH
37,1,0.98,221.47,NO_REACH
38,1,0.512,58.68,NO_REACH
39,0,0,58.68,NO_REACH
40,1,0.973,98.85,NO_REACH
41,1,0.996,87.15,NO_REACH
42,0,0,87.15,NO_REACH
43,0,0,87.15,NO_REACH
44,1,0.859,169.96,NO_REACH
45,1,0.968,139.28,REACHING
46,1,0.949,131.91,NO_REACH
47,1,0.878,158.16,NO_REACH
48,1,0.96,180.47,NO_REACH
49,1,0.522,201.3,NO_REACH
50,1,0.933,222.39,NO_REACH
51,1,0.919,118.68,NO_REACH
52,1,0.982,93.97,NO_REACH
53,1,0.996,93.38,NO_REACH
54,1,0.998,90.28,NO_REACH
55,0,0,90.28,NO_REACH
56,1,0.614,270.66,NO_REACH
57,1,0.951,250.23,REACHING
58,1,0.967,132.88,NO_REACH
59,1,0.966,118.02,NO_REACH
60,1,0.962,111.23,NO_REACH
61,1,0.97,210.58,NO_REACH
62,1,0.807,190.93,NO_REACH
63,1,0.952,202.79,REACHING
64,1,0.918,169.23,NO_REACH
65,1,0.942,174.13,NO_REACH
66,0,0,174.13,NO_REACH
67,0,0,174.13,NO_REACH
68,1,0.994,82,NO_REACH
69,1,0.981,84.21,NO_REACH
70,1,0.968,113.05,NO_REACH
71,1,0.772,156.23,NO_REACH
72,0,0,156.23,NO_REACH
73,1,0.933,258.61,NO_REACH
74,1,0.948,220.89,NO_REACH
75,1,0.865,279.15,REACHING
76,1,0.72,267.97,REACHING
77,1,0.639,254.22,NO_REACH
78,1,0.782,271.92,NO_REACH
79,1,0.8,194.6,NO_REACH
80,0,0,194.6,NO_REACH
81,1,0.985,95.03,NO_REACH
82,1,0.851,131.28,NO_REACH
83,1,0.731,145.58,NO_REACH
84,0,0,145.58,NO_REACH
85,1,0.811,236.69,NO_REACH
86,1,0.905,230.93,NO_REACH
87,0,0,230.93,NO_REACH
88,1,0.997,81.49,NO_REACH
89,1,0.992,69.94,NO_REACH
90,0,0,69.94,NO_REACH
91,1,0.953,234.9,NO_REACH
92,1,0.909,213.42,NO_REACH
93,1,0.948,103.32,NO_REACH
94,1,0.985,86.49,NO_REACH
95,1,0.987,78.54,NO_REACH
96,0,0,78.54,NO_REACH
97,1,0.93,272.85,NO_REACH
98,1,0.869,131.8,NO_REACH
99,0,0,131.8,NO_REACH
100,1,0.997,47.67,NO_REACH
101,0,0,47.67,NO_REACH
102,1,0.905,32.43,NO_REACH
103,0,0,32.43,NO_REACH
104,1,0.936,92.47,NO_REACH
105,1,0.887,69.48,NO_REACH
106,0,0,69.48,NO_REACH
107,1,0.989,45.21,NO_REACH
108,0,0,45.21,NO_REACH
109,1,0.708,82.83,NO_REACH
110,1,0.883,85.04,NO_REACH
111,0,0,85.04,NO_REACH
112,1,0.986,37.21,NO_REACH
113,1,0.874,45.15,NO_REACH
114,0,0,45.15,NO_REACH
115,1,0.896,101.66,NO_REACH
116,1,0.83,91.91,NO_REACH
117,0,0,91.91,NO_REACH
118,1,0.981,41.58,NO_REACH
119,0,0,41.58,NO_REACH
120,1,0.517,29.34,NO_REACH
121,0,0,29.34,NO_REACH
122,0,0,29.34,NO_REACH
123,1,0.977,39.37,NO_REACH
124,1,0.943,36.63,NO_REACH
125,0,0,36.63,NO_REACH
126,1,0.979,93.99,NO_REACH
127,0,0,93.99,NO_REACH
128,1,0.971,43.03,REACHING
129,1,0.956,36.36,NO_REACH
130,1,0.993,39.51,NO_REACH
131,1,0.994,41.71,NO_REACH
132,1,0.995,43.61,NO_REACH
133,1,0.931,48.73,NO_REACH
134,0,0,48.73,NO_REACH
135,0,0,48.73,NO_REACH
136,1,0.738,84.13,NO_REACH
137,1,0.881,90.44,NO_REACH
138,0,0,90.44,NO_REACH
139,1,0.886,85.1,NO_REACH
140,0,0,85.1,NO_REACH
141,1,0.994,40.98,NO_REACH
142,1,0.993,39.06,NO_REACH
143,0,0,39.06,NO_REACH
144,1,0.847,100.98,NO_REACH
145,1,0.916,106.59,NO_REACH
146,0,0,106.59,NO_REACH
147,1,0.982,47.74,NO_REACH
148,0,0,47.74,NO_REACH
149,0,0,47.74,NO_REACH
150,1,0.924,81.7,REACHING
151,0,0,81.7,NO_REACH
152,1,0.984,54.3,NO_REACH
153,0,0,54.3,NO_REACH
154,1,0.921,78.26,NO_REACH
155,0,0,78.26,NO_REACH
156,1,0.981,52.05,NO_REACH
157,0,0,52.05,NO_REACH
158,1,0.931,65.06,NO_REACH
159,0,0,65.06,NO_REACH
160,1,0.98,68.05,NO_REACH
161,0,0,68.05,NO_REACH
162,1,0.994,30.99,NO_REACH
163,1,0.991,32.14,NO_REACH
164,0,0,32.14,NO_REACH
165,1,0.924,70.71,NO_REACH
166,0,0,70.71,NO_REACH
167,1,0.855,64.23,NO_REACH
168,0,0,64.23,NO_REACH
169,1,0.725,45.23,NO_REACH
170,0,0,45.23,NO_REACH
171,0,0,45.23,NO_REACH
172,1,0.984,52.46,NO_REACH
173,0,0,52.46,NO_REACH
174,1,0.876,101.6,NO_REACH
175,1,0.897,102.7,NO_REACH
176,0,0,102.7,NO_REACH
177,1,0.979,44.7,NO_REACH
178,0,0,44.7,NO_REACH
179,1,0.96,77.63,NO_REACH
180,0,0,77.63,NO_REACH
181,1,0.994,46.11,NO_REACH
182,0,0,46.11,NO_REACH
183,1,0.983,92.68,NO_REACH
184,1,0.951,71.09,NO_REACH
185,0,0,71.09,NO_REACH
186,1,0.964,50.73,NO_REACH
187,0,0,50.73,NO_REACH
188,1,0.958,97.24,NO_REACH
189,1,0.917,103.72,REACHING
190,0,0,103.72,NO_REACH
191,1,0.923,68.19,NO_REACH
192,0,0,68.19,NO_REACH
193,1,0.914,82.64,NO_REACH
194,0,0,82.64,NO_REACH
195,1,0.942,49.96,NO_REACH
196,0,0,49.96,NO_REACH
197,1,0.955,66.81,NO_REACH
198,0,0,66.81,NO_REACH
199,1,0.954,58.25,NO_REACH
200,0,0,58.25,NO_REACH
